emo_id,user_comments
22,了 是 让 会 救护车 有 人 让行 @ 应该 看 素质 珠海 司机 在 红灯 真的 吗 好 中国 交警 撤销 视频 车 做 罚单 上 要 为 闯 去 说 多 车辆 生命 能 过 觉得 可能 情况 # 交通 // 想 没有 宣传 感动 高 大 遇到
23,孩子 了 好 是 懂事 会 要 父母 做饭 能 @ 小 让 人 看 安全 注意 有 小孩 10岁 小姑娘 做 吗 真的 说 时候 在家 爸妈 棒 应该 教育 单位 看看 幸福 真是 吃饭 妹妹 想 吃 女儿 大 儿子 煮 看到 公司 工作 可爱 去 爸爸 女孩
24,好 孩子 加油 女儿 父亲 康复 为 是 愿 刷刷 懂事 爸爸 都会 男子汉 娶 平安 救 拒绝 天使 父母 起来 希望 放弃 打算 配型 白血病 人 心疼 汉真 棒👍 男子 让 祝 能 哭 好的 儿子 老婆生 长大 健康 人生 不易 会 真的 点赞 小 能够 躲 成功 下来
25,了 是 法律 保护 人 未成年人 有 能 就 孩子 杀人 应该 会 犯罪 年龄 吗 未成年 要 保护法 小 让 长大 说 真的 男孩 女孩 教育 还 好 社会 受害者 可以 责任 不是 没有 谁 刑法 上 新闻 该 知道 死刑 想 强奸 在 看 事 修改 多 家长
26,# 外国人 中国 条例 居留 人 反对 了 管理 坚决 是 有 可以 👶🏿 转移 要 公民 民族 意见 在 会 山东 想 政府 资产 时 说 享受 申请 为 来 元邦 🇨🇳 留学生 怕 敢 洋人 法律 公安局 下来 出国 保险 在家 历史 房价 通信 反 👴🔫 能 祖国
27,疫苗 是 了 中国 加油 希望 # 有 能 美国 新冠 研发 研制 要 出来 出 研究 肺炎 国家 好 病毒 世界 会 成功 竞速 说 上 就 谁 可以 为 没有 用 让 人 疫情 @ 人类 来 使用 试验 ][ 去 真的 技术 科研 进入 感觉 紧急 医保
28,了 是 会 中国 A股 有 股市 要 跌 钱 能 历史 去 熔断 经济 到 美国 好 吗 见证 疫情 全球 买 影响 人 看 想 危机 在 上 可以 金融 股票 还 时候 说 来 涨 巴菲特 蒸发 知道 基金 着 过 美股 出来 世界 大 没 发生
29,了 是 武汉 能 说 人 要 吧 有 人员 清零 疑似 做 想 物资 好 多 没有 湖北 社区 江苏 希望 检测 会 政府 排查 让 看 病例 医护 确诊 到 去 还 可以 没 数据 说话 疫情 真的 求助 大 老人 上 还有 完 完成 全国 领导 出来
30,了 是 票 买 抢票 抢 回家 软件 到 能 候补 有 会 抢到 去 没有 买到 吗 用 啊 说 上 想 飞机 车票 高铁 多 可以 要 没 只能 火车 加速 官方 显示 在 放票 让 到票 好 包 坐 时候 黄牛 着 直接 屏蔽 补 人 地铁
31,"了 是 you 有 评论 人 好 哈哈 爱 要 会 # I 晚安 配图 来 去 吃 涨价 . 想 需要 肖战 ][ 回 love 可以 可爱 能 , @ 为 说 道歉 没有 真的 看 消息 多 做 感情 涨 哥哥 让 like 时候 me 经营 在 时"
32,了 票 买 是 能 到 候补 有 回家 @ 人 就 没有 好 抢 广州 数据 要 抢票 吗 买到 多 软件 真的 没 上 去 难 看 可以 想 抢到 回 让 在 黄牛 月 看到 说 车票 时候 火车票 来 觉得 大 问题 做 过年 成都 高铁
33,了 票 是 到 买 能 抢 回家 抢票 有 就 没有 时候 要 抢到 想 时间 调整 吗 没 好 去 难 可以 还 知道 真的 到票 多 回 软件 高铁 在 买到 吧 显示 火车 小时 候补 让 学生 列车 车 人 说 开售 过年 车次 放假 延长
34,是 了 香蕉 艺术 吃 艺术家 有 洗钱 人 能 懂 可以 买 上 会 看 说 哈哈 要 艺术品 去 来 想 : 就 卖 作品 胶带 多 炒作 行为 保护 钱 好 那 觉得 价值 感觉 @ 没有 到 世界 可能 美元 新闻 让 谁 苹果 榴莲 理解
35,了 是 人 能 有 老人 要 就 吗 输入 人员 让 隔离 中国 多 没有 可以 会 还 工作 应该 回来 看 手机 真的 严防 扫码 到 来 人民 给 去 入境 说 在 开学 上 疫情 时候 想 集中 @ 打 好 直接 口号 没 防疫 新增 全国
36,了 孩子 少年 是 好 有 点赞 英雄 为 @ 小 人 优秀 回家 真的 个 要 棒 给 想 李承泽 小朋友 中国 加油 面相 厉害 会 👍🏻 # 教育 救 来 真 去 吗 能 说 像 安全 值得 强 不错 点 多 让 看 名字 学校 应该 大
37,"了 是 人 有 武汉 到 去 12号 能 可以 要 医院 , 口罩 真的 在 坐 会 知道 车 信息 火车 过 没有 好 看 加油 . 湘潭 确诊 微博 多 病毒 应该 列车 物资 疫情 电话 车厢 时候 出来 人员 湖北 动物 政府 让 想 看到 还有 字"
38,加油 了 平安 武汉 人 要 是 口罩 湖北 科学 去 中国 疫情 人员 能 好 归来 为 ][ 物资 黑龙江 支援 人民 回来 节约 医护 江苏 希望 使用 有 辛苦 在 大 让 会 医院 李现 多 加油] 全国 说 河南 安全 一线 请 给 感谢 医疗队 想 保护
39,过 是 好 要 考试 健康 希望 来 12月 加油 顺利 哥哥 身体 阳光 多 有 上海 太阳 会 好运 认真 能 ( 人 快乐 工作 月 哦 🙏 想 可以 宝宝 爱 看 去 开心 让 温暖 小 考研 ][ ) 🙏🙏 新 ! 时候 愿望 努力 海绵 上岸
40,了 是 人 武汉 有 能 医院 会 隔离 要 人员 医护 说 好 多 感染 真的 看 在 可以 去 没有 加油 政府 希望 一线 确诊 疫情 让 辛苦 疑似 想 上 患者 到 病人 物资 医生 起来 大 方舱 开始 人民 床位 国家 知道 哭 口罩 领导 做
41,@ # 了 是 人民 有 人 中国 能 南京 要 日报 为 好 让 抓 诈骗 国家 : 真的 看 没有 落网 可以 时候 在 犯罪 钱 会 想 高 警察 法院 政府 还 上 新闻 知道 去 速度 违法 请 办案 没 北京 希望 做 厉害 逃犯 给
42,是 中国 要 广西 偷渡 有 来 人 想 疫情 能 国家 人员 入境 @ 到 边防 好 让 病毒 就 严防 真的 希望 建议 发现 人民 应该 容易 会 过来 进来 时候 去 可能 # 云南 进入 情况 爬 直接 ? 山 起来 控制 美国 觉得 出 传播 开学
43,了 是 好 平安 有 人 希望 活 矿工 能 真的 盒饭 要 着 电影 会 可以 获救 在 工作 救援 康复 看到 健康 🙏 想 人员 祝 🙏🙏 食物 事故 出来 消息 人性 发生 工人 到 感动 高危 让 愿 辛苦 煤矿 时候 过 职业 压缩 说 危险 真
